subject,stage,network,coupling_z
sub-01,N2,DorsAttn,0.5602449046853748
sub-01,N2,DorsAttn,-0.24882733879167493
sub-01,N2,SalVentAttn,0.5807516743722073
sub-01,N2,SalVentAttn,1.245243567661552
sub-01,N2,Limbic,0.35314405855601777
sub-01,N2,Limbic,0.7318825518013697
sub-01,N2,Cont,0.7525569687735015
sub-01,N2,Cont,0.883139696042382
sub-01,N2,Default,0.4711619494874937
sub-01,N2,Default,1.0811944491429366
sub-02,Wake,Vis,0.06777177639466801
sub-02,Wake,Vis,0.7518856445745071
sub-02,Wake,SomMot,-0.641800558183579
sub-02,Wake,SomMot,-0.4982312531171225
sub-02,Wake,DorsAttn,-0.4265292860184749
sub-02,Wake,DorsAttn,-0.3378926810373638
sub-02,Wake,SalVentAttn,-0.39090603665682433
sub-02,Wake,SalVentAttn,-0.14288984761209086
sub-02,Wake,Limbic,-0.4152241866681661
sub-02,Wake,Limbic,0.010857610411202128
sub-02,Wake,Cont,-0.09658770241913497
sub-02,Wake,Cont,0.4541606510425622
sub-02,Wake,Default,-0.16592610090998547
sub-02,Wake,Default,0.11721098831607472
sub-02,N1,Vis,-0.6391174708193297
sub-02,N1,Vis,0.2810830351620058
sub-02,N1,SomMot,-0.7707217551920847
sub-02,N1,SomMot,0.17068621987154542
sub-02,N1,DorsAttn,-0.7730358216757998
sub-02,N1,DorsAttn,-0.22181294367298274
sub-02,N1,SalVentAttn,-0.6073620581913971
sub-02,N1,SalVentAttn,0.052962760871866105
sub-02,N1,Limbic,-0.3269235676252901
sub-02,N1,Limbic,-0.02553245405912775
sub-02,N1,Cont,-0.6292058070227409
sub-02,N1,Cont,-0.27249560806124945
sub-02,N1,Default,-0.6909196435855008
sub-02,N1,Default,-0.31406599490056203
sub-02,N2,Vis,-0.7473388644069069
sub-02,N2,Vis,-0.5178697219335004
sub-02,N2,SomMot,-0.654664405609372
sub-02,N2,SomMot,-0.28838563021930225
sub-02,N2,DorsAttn,-0.1797600756123269
sub-02,N2,DorsAttn,-0.47174395536851127
sub-02,N2,SalVentAttn,-0.6632767402800311
sub-02,N2,SalVentAttn,-0.49885380144094504
sub-02,N2,Limbic,-0.8409140345427853
sub-02,N2,Limbic,-0.3766379903692188
sub-02,N2,Cont,0.012313461344117869
sub-02,N2,Cont,-0.38595498549197965
sub-02,N2,Default,-0.2859510044508583
sub-02,N2,Default,-0.6074321291718878
sub-02,Wake,Vis,1.065891173573282
sub-02,Wake,Vis,0.02837914262051641
sub-02,Wake,Vis,0.9733460234623581
sub-02,Wake,Vis,0.3643025488752867
sub-02,Wake,Vis,0.22395438546316115
sub-02,Wake,Vis,-0.029387152647591078
sub-02,Wake,Vis,0.061405995264211616
sub-02,Wake,Vis,0.9479674554075808
sub-02,Wake,Vis,0.699452777631635
