Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
108b,35.5,-70.5,-8.5,-2.322944766833585,
108c,23.5,-74.5,-8.5,-2.2287909873499943,
109,-38.5,-2.5,63.5,-2.4485094810535046,208
110,23.5,-34.5,-0.5,-2.423804885497218,144
111,23.5,-20.5,19.5,-2.416151609060798,128
112,17.5,-84.5,5.5,-2.4080020569116103,432
112a,25.5,-72.5,7.5,-2.2324808613172133,
113,-66.5,-22.5,5.5,-2.391781840739959,168
114,49.5,-44.5,11.5,-2.383236619278665,80
115,-30.5,1.5,35.5,-2.38061708508964,88
116,-44.5,21.5,31.5,-2.3574194318096704,144
117,3.5,-6.5,73.5,-2.3371212996744903,176
118,-12.5,-20.5,-26.5,-2.285180218451183,96
119,-52.5,-40.5,31.5,-2.275479083020913,200
120,47.5,-44.5,-34.5,-2.270534714924141,80
121,-26.5,-70.5,51.5,-2.256444958763053,392
122,49.5,-14.5,13.5,-2.2496426434098233,184
123,-24.5,-58.5,7.5,-2.2355376882388858,96
124,-2.5,-76.5,45.5,-2.2338220514838003,96
125,-54.5,-20.5,25.5,-2.2245813259168346,120
126,-10.5,-6.5,59.5,-2.201518004317392,112
127,65.5,-14.5,15.5,-2.1523918718344306,88
128,-42.5,-58.5,-4.5,-2.1300691663550873,80
